Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:54:26,trash_0,8.600794396535553,37.4191564,-5.9990256,324.09,37.4192319651392,-5.999047147005265,347.1872880546752
2024/05/14-11:54:26,trash_0,8.527387656059195,37.4191564,-5.9990256,324.09,37.419231372500356,-5.999046672703693,347.3643588448927
2024/05/14-11:54:26,trash_0,8.678322423852233,37.4191564,-5.9990256,324.09,37.41923269951363,-5.99904704569094,347.3643588448927
2024/05/14-11:54:26,trash_0,8.651086852507785,37.4191564,-5.9990256,324.09,37.41923251225432,-5.999046684351825,347.5409601150467
2024/05/14-11:54:26,trash_0,8.707360207534816,37.4191564,-5.9990256,324.09,37.41923300734723,-5.999046821500883,347.5409601150467
2024/05/14-11:54:26,trash_0,8.61894076101442,37.4191564,-5.9990256,324.09,37.41923228057777,-5.99904631364561,347.71709038792966
2024/05/14-11:54:26,trash_0,8.657579791135989,37.4191564,-5.9990256,324.09,37.41923267127203,-5.999046113426988,347.89274822980894
2024/05/14-11:54:26,trash_0,8.724058733666903,37.4191564,-5.9990256,324.09,37.41923330698606,-5.999045976217462,348.06793225015593
2024/05/14-11:54:26,trash_0,8.850316294488731,37.4191564,-5.9990256,324.09,37.419234469920404,-5.999045972736392,348.2426411013689
2024/05/14-11:54:26,trash_0,8.8938096659308,37.4191564,-5.9990256,324.09,37.41923490287391,-5.99904577364373,348.41687347849086
2024/05/14-11:54:26,trash_0,8.889505849418155,37.4191564,-5.9990256,324.09,37.41923491329612,-5.999045465449473,348.59062811892056
2024/05/14-11:54:27,trash_0,8.867784689812948,37.4191564,-5.9990256,324.09,37.419234768893894,-5.999045119845317,348.7639038021193
2024/05/14-11:54:27,trash_0,8.950227885697487,37.4191564,-5.9990256,324.09,37.419235544514095,-5.999045002146107,348.9366993493112
2024/05/14-11:54:27,trash_0,8.91390884731256,37.4191564,-5.9990256,324.09,37.41923531450458,-5.999044329464729,349.2808455275581
2024/05/14-11:54:27,trash_0,8.959021021647121,37.4191564,-5.9990256,324.09,37.41923575842701,-5.999044126776901,349.4521940071155
2024/05/14-11:54:27,trash_0,9.0152981535847,37.4191564,-5.9990256,324.09,37.41923630091411,-5.9990439444913735,349.6230580470392
2024/05/14-11:54:27,trash_0,9.091547371657366,37.4191564,-5.9990256,324.09,37.4192370629035,-5.999043499346471,349.9633289493823
2024/05/14-11:54:27,trash_0,9.030856940409715,37.4191564,-5.9990256,324.09,37.41923656601834,-5.99904308275896,350.1327339818398
2024/05/14-11:54:27,trash_0,9.077176284843706,37.4191564,-5.9990256,324.09,37.41923701816036,-5.999042874511228,350.30165091407406
2024/05/14-11:54:27,trash_0,9.025315910907073,37.4191564,-5.9990256,324.09,37.41923663660918,-5.999042185518604,350.63801724781354
2024/05/14-11:54:27,trash_0,9.112526450302454,37.4191564,-5.9990256,324.09,37.41923745061363,-5.999042048867764,350.80546513024956
2024/05/14-11:54:27,trash_0,9.238957837392581,37.4191564,-5.9990256,324.09,37.41923861355786,-5.999041976793903,350.9724218736307
2024/05/14-11:54:27,trash_0,9.213620055110505,37.4191564,-5.9990256,324.09,37.41923846228639,-5.999041335178263,351.3048593197933
2024/05/14-11:54:28,trash_0,9.186777103488879,37.4191564,-5.9990256,324.09,37.41923832825239,-5.999040402537004,351.79981651663655
2024/05/14-11:54:28,trash_0,9.238273033294366,37.4191564,-5.9990256,324.09,37.41923885401259,-5.999039894838078,352.1273159444256
2024/05/14-11:54:28,trash_0,9.238183343052578,37.4191564,-5.9990256,324.09,37.41923888531505,-5.999039600529973,352.2903227034515
2024/05/14-11:54:28,trash_0,9.290839241002248,37.4191564,-5.9990256,324.09,37.41923941774361,-5.999039091001673,352.61484842003784
2024/05/14-11:54:28,trash_0,9.583978918910997,37.4191564,-5.9990256,324.09,37.4192422883074,-5.999036822003189,354.05061374734595
2024/05/14-11:54:30,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:30,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:30,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:30,trash_0,10.638705630462919,37.4191564,-5.9990256,324.09,37.41925193143353,-5.9990157076119175,364.7214004362561
2024/05/14-11:54:30,trash_0,10.396458654597962,37.4191564,-5.9990256,324.09,37.41924972296108,-5.999015441608769,364.9619156299908
2024/05/14-11:54:31,trash_0,10.625959671854822,37.4191564,-5.9990256,324.09,37.419251653394674,-5.9990134898398315,365.7901264056286
2024/05/14-11:54:31,trash_0,10.885996643360942,37.4191564,-5.9990256,324.09,37.419253835292615,-5.999011470613893,366.5975412080367
2024/05/14-11:54:31,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.821496045014412,37.4191564,-5.9990256,324.09,37.4192530208911,-5.999009186917249,367.71583927393374
2024/05/14-11:54:31,trash_1,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,inf,37.4191564,-5.9990256,324.09,,,
2024/05/14-11:54:31,trash_0,10.719267031746051,37.4191564,-5.9990256,324.09,37.419251847181755,-5.9990070868857055,368.7940261184998
