Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-12:16:52,trash_0,5.958895930577398,37.419215,-5.9991125,119.03,37.419218417562476,-5.999045320035592,86.35048012449123
2024/05/14-12:16:53,trash_0,5.949516918669899,37.419215,-5.9991125,119.03,37.41922056810925,-5.999045653030396,84.03788280223665
2024/05/14-12:16:53,trash_0,5.99006779760929,37.419215,-5.9991125,119.03,37.419222026110006,-5.999045407229483,82.51989482740328
2024/05/14-12:16:53,trash_0,5.929028280673921,37.419215,-5.9991125,119.03,37.419223422169985,-5.9990463585513805,80.92919005057882
2024/05/14-12:16:53,trash_0,5.870290027049735,37.4192139,-5.9991112,124.07,37.41921902017894,-5.999045195939969,84.4448381040034
2024/05/14-12:16:53,trash_0,5.690999930801047,37.4192139,-5.9991112,124.07,37.41922026811717,-5.999047407602837,82.86596352377839
2024/05/14-12:16:53,trash_0,5.516369090852732,37.4192128,-5.9991099,129.51,37.41922051550511,-5.999048338058299,81.06981043438208
2024/05/14-12:16:53,trash_0,,37.4192117,-5.9991088,134.55,,,
2024/05/14-12:16:53,trash_0,6.980037575296558,37.4192105,-5.9991079,140.21,37.419205911834695,-5.999029258013036,94.18363457771306
2024/05/14-12:16:54,trash_0,6.578363530493386,37.4192105,-5.9991079,140.21,37.419209606123374,-5.999033593979372,90.8640796306346
2024/05/14-12:16:55,trash_0,inf,37.4192042,-5.9991055,171.83,,,
2024/05/14-12:16:55,trash_0,inf,37.4192042,-5.9991055,171.83,,,
2024/05/14-12:16:55,trash_0,inf,37.4192042,-5.9991055,171.83,,,
2024/05/14-12:16:55,trash_0,inf,37.4192032,-5.9991054,175.69,,,
2024/05/14-12:16:55,trash_0,inf,37.4192032,-5.9991054,175.69,,,
2024/05/14-12:16:57,trash_0,inf,37.4191969,-5.9991061,179.56,,,
2024/05/14-12:16:57,trash_0,inf,37.4191957,-5.9991061,176.79,,,
2024/05/14-12:16:57,trash_0,inf,37.4191957,-5.9991061,176.79,,,
2024/05/14-12:16:57,trash_0,inf,37.419193,-5.9991057,168.86,,,
2024/05/14-12:16:58,trash_0,inf,37.4191858,-5.9991019,152.56,,,
2024/05/14-12:16:59,trash_0,inf,37.4191858,-5.9991019,152.56,,,
2024/05/14-12:16:59,trash_0,inf,37.4191858,-5.9991019,152.56,,,
2024/05/14-12:17:00,trash_0,inf,37.4191808,-5.9990991,156.87,,,
2024/05/14-12:17:00,trash_0,inf,37.4191796,-5.9990986,159.34,,,
2024/05/14-12:17:00,trash_0,inf,37.4191796,-5.9990986,159.34,,,
2024/05/14-12:17:52,trash_0,inf,37.4190093,-5.9993777,174.17,,,
2024/05/14-12:17:52,trash_0,inf,37.4190093,-5.9993777,174.17,,,
2024/05/14-12:17:52,trash_0,inf,37.4190076,-5.9993772,168.59,,,
2024/05/14-12:18:41,trash_0,12.255166864473344,37.4191222,-5.9991134,48.67,37.41923171460663,-5.999095694659111,7.347558392604974
2024/05/14-12:18:41,trash_0,11.744134258683866,37.4191241,-5.9991101,48.32,37.419229230702236,-5.999095016290417,6.528211694376203
2024/05/14-12:18:41,trash_0,11.74179670056325,37.4191241,-5.9991101,48.32,37.41922920977697,-5.999095019292689,6.528211694376203
2024/05/14-12:18:42,trash_0,11.484371971254534,37.4191251,-5.9991083,47.95,37.41922800151455,-5.999094644386053,6.041936795374802
2024/05/14-12:18:42,trash_0,11.562102422792474,37.419126,-5.9991067,47.63,37.419229718498094,-5.999094463349528,5.375638822985692
2024/05/14-12:18:42,trash_0,11.35012805308802,37.419126,-5.9991067,47.63,37.41922781696997,-5.999094687691061,5.375638822985692
2024/05/14-12:18:42,trash_0,11.63585437920033,37.419126,-5.9991067,47.63,37.41923041848005,-5.999094907934746,5.1468655521319135
2024/05/14-12:18:42,trash_0,11.460579107344266,37.4191279,-5.9991033,47.14,37.41923082104587,-5.9990927887344245,4.656865552131919
2024/05/14-12:18:42,trash_0,11.541838258394382,37.4191279,-5.9991033,47.14,37.41923156734862,-5.999092972258691,4.543102443160542
2024/05/14-12:18:42,trash_0,11.604585865242342,37.4191279,-5.9991033,47.14,37.419232147120354,-5.999093174663825,4.429753194416385
2024/05/14-12:18:43,trash_0,11.036148547014225,37.4191289,-5.9991015,46.92,37.41922808364961,-5.999092593093163,4.096816434030117
2024/05/14-12:18:43,trash_0,10.972742135738697,37.4191298,-5.9990999,46.75,37.41922847237522,-5.999092137263019,3.590467322458373
2024/05/14-12:18:43,trash_0,11.052392168673078,37.4191309,-5.9990982,46.51,37.41923035588662,-5.999091866388596,2.9076929884749205
2024/05/14-12:18:43,trash_0,11.112439379708377,37.4191318,-5.9990965,46.38,37.41923181659881,-5.999090656509585,2.668006437935688
2024/05/14-12:18:43,trash_0,11.096867711034824,37.4191318,-5.9990965,46.38,37.41923168514298,-5.9990909035605124,2.558719919075635
2024/05/14-12:18:43,trash_0,11.030278023775525,37.4191318,-5.9990965,46.38,37.41923110187454,-5.999091409465998,2.3413414008663196
2024/05/14-12:18:44,trash_0,10.95399922520759,37.4191328,-5.9990948,46.3,37.419231434663914,-5.9990903830471,2.0455462698978337
2024/05/14-12:18:44,trash_0,10.910040644636966,37.4191328,-5.9990948,46.3,37.419231056944426,-5.999091090357849,1.7247979609690063
